forSimple	tree.nodes.items
forSimple	fullWhile
forFull	intCast
forFull	std.debug.assert
forFull	tree.tokens.items
forFull	lastToken
forFull	tree.extraData
forFull	tree.nodes.items
forFull	fullWhile
containerField	tree.nodes.items
containerField	tree.containerField
containerField	tree.containerFieldInit
containerField	tree.containerFieldAlign
ptrType	intCast
ptrType	std.debug.assert
ptrType	tree.tokens.items
ptrType	tree.firstToken
ptrType	lastToken
ptrType	fullPtrType
ptrType	assert
ptrType	ptrTypeSimple
ptrType	tree.extraData
ptrType	tree.nodes.items
ptrType	ptrTypeSentinel
ptrType	ptrTypeAligned
ptrType	ptrTypeBitRange
whileAst	intCast
whileAst	std.debug.assert
whileAst	tree.tokens.items
whileAst	lastToken
whileAst	tree.extraData
whileAst	tree.nodes.items
whileAst	fullWhile
whileAst	whileSimple
whileAst	whileCont
whileAst	whileFull
whileAst	forSimple
whileAst	forFull
isContainer	tree.nodes.items
declMembers	std.debug.assert
declMembers	tree.nodes.items
declMembers	isContainer
declMembers	tree.containerDecl
declMembers	tree.containerDeclArg
declMembers	tree.containerDeclTwo
declMembers	tree.taggedUnion
declMembers	tree.taggedUnionEnumTag
declMembers	tree.taggedUnionTwo
declMembers	tree.rootDecls
varDecl	tree.nodes.items
varDecl	tree.globalVarDecl
varDecl	tree.localVarDecl
varDecl	tree.alignedVarDecl
varDecl	tree.simpleVarDecl
isBuiltinCall	tree.nodes.items
isCall	tree.nodes.items
callFull	tree.nodes.items
callFull	tree.callFull
callFull	tree.callOne
print	writer
print	panic
print	std.io.getStdOut
print	stdout.print
write	writer
write	panic
write	std.io.getStdOut
write	stdout.writeAll
toInt	std.meta.fields
toInt	field
set	field
add	std.debug.assert
add	tree.tokens.items
add	handleComments
add	handleToken
add	self.handleComments
add	offsets.tokenLength
add	self.addDirect
add	enumToInt
add	offsets.lineSectionLength
handleComments	std.debug.assert
handleComments	self.addDirect
handleComments	offsets.lineSectionLength
handleToken	tree.tokens.items
handleToken	offsets.tokenLength
